Date,tair,pcp,Q,SWE,PET
2000-10-01,10.555555555555555,0.0,0.356384056780995,,4.960397720336914
2000-10-02,10.555555555555555,0.0,0.3342120715690476,,4.924741744995117
2000-10-03,8.333333333333334,0.0,0.3327838148529405,,4.243824005126953
2000-10-04,2.7777777777777777,7.619999999999999,0.3278189224588542,,2.923412561416626
2000-10-05,4.444444444444445,0.0,0.3704625872683358,,3.244371175765991
2000-10-06,6.111111111111111,0.0,0.351079103264026,,3.5950276851654053
2000-10-07,6.666666666666667,0.0,0.3280909713571603,,3.7009339332580566
2000-10-08,3.888888888888889,0.0,0.3162568442808448,,3.059281587600708
2000-10-09,2.2222222222222223,0.0,0.3049668150011416,,2.715512752532959
2000-10-10,3.3333333333333335,0.0,0.2938128101705913,,2.905214309692383
2000-10-11,5.0,0.0,0.2913643700858364,,3.222442150115967
2000-10-12,2.2222222222222223,2.54,0.2802783774798627,,2.6569461822509766
2000-10-13,-0.5555555555555556,0.0,0.3033889313909662,,2.181133508682251
2000-10-14,-0.5555555555555556,0.0,0.3002059592807847,,2.16536021232605
2000-10-15,1.1111111111111112,0.0,0.2925885901282138,,2.410684108734131
2000-10-16,2.2222222222222223,0.0,0.2778979496196842,,2.5809643268585205
2000-10-17,3.888888888888889,0.0,0.2709607027128786,,2.8658485412597656
2000-10-18,5.0,0.0,0.266743944789134,,3.0630433559417725
2000-10-19,4.444444444444445,0.0,0.2709607027128786,,2.931191921234131
2000-10-20,3.888888888888889,0.0,0.2709607027128786,,2.8045878410339355
2000-10-21,3.888888888888889,0.0,0.2709607027128786,,2.784560203552246
2000-10-22,2.7777777777777777,5.08,0.2870795999375153,,2.566380500793457
2000-10-23,2.2222222222222223,7.619999999999999,0.3125161719291359,,2.454421281814575
2000-10-24,-1.1111111111111112,2.54,0.340605220679241,,1.93900465965271
2000-10-25,-2.2222222222222223,0.0,0.3519632621835208,,1.7815017700195312
2000-10-26,-0.5555555555555556,0.0,0.324826384577487,,1.9870021343231201
2000-10-27,2.2222222222222223,2.54,0.3054429005731772,,2.3861865997314453
2000-10-28,0.0,5.08,0.3136723797469368,,2.036097526550293
2000-10-29,-1.1111111111111112,0.0,0.3282950080308899,,1.8723384141921997
2000-10-30,0.0,0.0,0.3163248565054213,,2.008183479309082
2000-10-31,-3.888888888888889,2.54,0.3058509739206363,,1.5188454389572144
2000-11-01,-6.111111111111111,2.54,0.3128562330520185,,1.2857666015625
2000-11-02,-6.666666666666667,2.54,0.3121761108062533,,1.2265254259109497
2000-11-03,-4.444444444444445,0.0,0.3038446132956289,,1.4305816888809204
2000-11-04,-2.2222222222222223,0.0,0.2955131157850045,,1.663614273071289
2000-11-05,-7.777777777777778,10.16,0.28718161827438,,1.1083394289016724
2000-11-06,-12.222222222222221,0.0,0.2788501207637557,,0.7885875105857849
2000-11-07,-12.777777777777779,0.0,0.2586504900645275,,0.750807523727417
2000-11-08,-9.444444444444445,2.54,0.2750414361874702,,0.960694432258606
2000-11-09,-7.222222222222222,0.0,0.3112919518867584,,1.1253793239593506
2000-11-10,-6.666666666666667,5.08,0.3006820448528204,,1.1647943258285522
2000-11-11,-10.555555555555555,2.54,0.2976895069714533,,0.8674708604812622
2000-11-12,-15.555555555555555,0.0,0.2946969690900861,,0.5861706137657166
2000-11-13,-16.666666666666668,0.0,0.2743613139417049,,0.5335350036621094
2000-11-14,-10.555555555555555,2.54,0.2738240173675503,,0.8521313071250916
2000-11-15,-11.666666666666666,5.08,0.2732867207933959,,0.7787559032440186
2000-11-16,-15.555555555555555,0.0,0.2727494242192412,,0.5727166533470154
2000-11-17,-16.11111111111111,0.0,0.2722121276450867,,0.5450509190559387
2000-11-18,-12.222222222222221,0.0,0.2716748310709322,,0.7340570688247681
2000-11-19,-7.222222222222222,0.0,0.2711375344967776,,1.0620514154434204
2000-11-20,-6.666666666666667,0.0,0.270600237922623,,1.1003354787826538
2000-11-21,-4.444444444444445,0.0,0.2700629413484685,,1.2854317426681519
2000-11-22,-2.2222222222222223,0.0,0.2695256447743139,,1.4972878694534302
2000-11-23,-2.7777777777777777,0.0,0.2689883482001594,,1.4329084157943726
2000-11-24,-6.666666666666667,0.0,0.2457961796195641,,1.0789445638656616
2000-11-25,-8.333333333333334,0.0,0.2368185659754627,,0.9502045512199402
2000-11-26,-6.111111111111111,0.0,0.2453200940475284,,1.1133755445480347
2000-11-27,-5.0,2.54,0.2407632750009012,,1.2012766599655151
2000-11-28,-4.444444444444445,0.0,0.2356623581576617,,1.2449405193328857
2000-11-29,-3.3333333333333335,0.0,0.2100897617168881,,1.3420883417129517
2000-11-30,-4.444444444444445,0.0,0.2031185086977942,,1.2352021932601929
2000-12-01,-7.777777777777778,0.0,0.1961472556787003,,0.9660958647727966
2000-12-02,-5.555555555555555,0.0,0.2219238887932036,,1.132133960723877
2000-12-03,-4.444444444444445,0.0,0.2306974657635754,,1.2221800088882446
2000-12-04,-4.444444444444445,0.0,0.2213797909965913,,1.2182692289352417
2000-12-05,-4.444444444444445,0.0,0.225868597818642,,1.2145763635635376
2000-12-06,-5.555555555555555,2.54,0.2090015661236636,,1.1180973052978516
2000-12-07,-3.3333333333333335,0.0,0.209953737267735,,1.3073261976242065
2000-12-08,-4.444444444444445,2.54,0.2098857250431585,,1.2048190832138062
2000-12-09,-5.0,5.08,0.2052608937719547,,1.1550469398498535
2000-12-10,-6.666666666666667,17.779999999999998,0.2039686615050007,,1.0214970111846924
2000-12-11,-13.88888888888889,2.54,0.1694864636447022,,0.5917556881904602
